timestamp,hour,day_of_week,vehicle_count,congestion_level,temperature,weather
2024-01-01 00:00:00,0,0,293,Low,30.95809513503881,Rainy
2024-01-01 01:00:00,1,0,405,Medium,26.885939749905692,Sunny
2024-01-01 02:00:00,2,0,314,Low,35.21873408950647,Rainy
2024-01-01 03:00:00,3,0,423,Medium,25.485605473955587,Cloudy
2024-01-01 04:00:00,4,0,315,Low,24.123887356333135,Sunny
2024-01-01 05:00:00,5,0,361,Low,33.839743211067336,Sunny
2024-01-01 06:00:00,6,0,312,Low,25.76731288685542,Rainy
2024-01-01 07:00:00,7,0,881,High,24.098793305562364,Cloudy
2024-01-01 08:00:00,8,0,843,High,28.764766958952137,Sunny
2024-01-01 09:00:00,9,0,570,Medium,15.11519336904706,Rainy
2024-01-01 10:00:00,10,0,563,Medium,26.42450052928964,Sunny
2024-01-01 11:00:00,11,0,333,Low,30.327270208903226,Sunny
2024-01-01 12:00:00,12,0,300,Low,26.70986076847058,Rainy
2024-01-01 13:00:00,13,0,367,Low,24.465852656074638,Sunny
2024-01-01 14:00:00,14,0,337,Low,28.487785617103285,Rainy
2024-01-01 15:00:00,15,0,260,Low,30.760664506135846,Cloudy
2024-01-01 16:00:00,16,0,495,Medium,33.02022325334934,Sunny
2024-01-01 17:00:00,17,0,800,High,24.95828129320276,Rainy
2024-01-01 18:00:00,18,0,663,Medium,21.5717319575323,Rainy
2024-01-01 19:00:00,19,0,434,Medium,17.525585378300377,Cloudy
2024-01-01 20:00:00,20,0,341,Low,21.718704509035195,Rainy
2024-01-01 21:00:00,21,0,257,Low,25.851367537508033,Rainy
2024-01-01 22:00:00,22,0,343,Low,25.747661872554364,Rainy
2024-01-01 23:00:00,23,0,247,Low,22.719701255798828,Cloudy
2024-01-02 00:00:00,0,1,324,Low,29.083877800586723,Cloudy
2024-01-02 01:00:00,1,1,284,Low,28.201691778534805,Sunny
2024-01-02 02:00:00,2,1,305,Low,22.407426944917752,Rainy
2024-01-02 03:00:00,3,1,253,Low,24.91779946379935,Sunny
2024-01-02 04:00:00,4,1,335,Low,28.553538673143883,Cloudy
2024-01-02 05:00:00,5,1,342,Low,25.065263699017713,Cloudy
2024-01-02 06:00:00,6,1,385,Low,15.929875198304204,Sunny
2024-01-02 07:00:00,7,1,725,High,28.89705957904645,Rainy
2024-01-02 08:00:00,8,1,812,High,23.129259915979187,Sunny
2024-01-02 09:00:00,9,1,666,Medium,30.810108008873563,Sunny
2024-01-02 10:00:00,10,1,643,Medium,24.093327063456954,Sunny
2024-01-02 11:00:00,11,1,304,Low,15.957399047205948,Cloudy
2024-01-02 12:00:00,12,1,219,Low,22.420505684215957,Cloudy
2024-01-02 13:00:00,13,1,293,Low,11.845061821462588,Sunny
2024-01-02 14:00:00,14,1,367,Low,14.170704450273066,Sunny
2024-01-02 15:00:00,15,1,420,Medium,21.891100226717306,Cloudy
2024-01-02 16:00:00,16,1,428,Medium,31.923239657489912,Rainy
2024-01-02 17:00:00,17,1,822,High,27.800567516184614,Sunny
2024-01-02 18:00:00,18,1,901,High,23.4434110270997,Sunny
2024-01-02 19:00:00,19,1,282,Low,17.718698954193535,Cloudy
2024-01-02 20:00:00,20,1,313,Low,32.59533182345467,Rainy
2024-01-02 21:00:00,21,1,252,Low,26.174364527416742,Sunny
2024-01-02 22:00:00,22,1,305,Low,27.080441424488694,Sunny
2024-01-02 23:00:00,23,1,360,Low,26.348550867249728,Sunny
2024-01-03 00:00:00,0,2,292,Low,23.3913921128202,Rainy
2024-01-03 01:00:00,1,2,281,Low,27.861419071462063,Sunny
2024-01-03 02:00:00,2,2,233,Low,19.69746115864249,Sunny
2024-01-03 03:00:00,3,2,356,Low,22.55394411113664,Sunny
2024-01-03 04:00:00,4,2,335,Low,25.002822494347587,Rainy
2024-01-03 05:00:00,5,2,229,Low,26.209123988208017,Sunny
2024-01-03 06:00:00,6,2,359,Low,30.359531519641422,Cloudy
2024-01-03 07:00:00,7,2,796,High,20.616193418585205,Cloudy
2024-01-03 08:00:00,8,2,801,High,18.179678858838923,Sunny
2024-01-03 09:00:00,9,2,678,Medium,22.231279162633413,Sunny
2024-01-03 10:00:00,10,2,701,High,14.624215285948692,Cloudy
2024-01-03 11:00:00,11,2,311,Low,17.5034512184325,Sunny
2024-01-03 12:00:00,12,2,285,Low,25.573282438724338,Rainy
2024-01-03 13:00:00,13,2,256,Low,30.140366672298676,Sunny
2024-01-03 14:00:00,14,2,260,Low,24.077665461227202,Rainy
2024-01-03 15:00:00,15,2,260,Low,33.76067198325464,Rainy
2024-01-03 16:00:00,16,2,606,Medium,36.519329417454856,Sunny
2024-01-03 17:00:00,17,2,760,High,29.028792562172654,Rainy
2024-01-03 18:00:00,18,2,819,High,27.52754855152415,Cloudy
2024-01-03 19:00:00,19,2,340,Low,28.533650808015928,Sunny
2024-01-03 20:00:00,20,2,326,Low,9.75027018225531,Rainy
2024-01-03 21:00:00,21,2,351,Low,28.738841882786488,Rainy
2024-01-03 22:00:00,22,2,400,Low,27.60921085994069,Rainy
2024-01-03 23:00:00,23,2,352,Low,19.97027319802072,Sunny
