timestamp,hour,month,consumption_kwh,temperature,population_density
2024-01-01 00:00:00,0,1,351.72,25.59820253578475,5014.823078670651
2024-01-01 01:00:00,1,1,348.31,32.60929387106478,5378.860932314765
2024-01-01 02:00:00,2,1,378.74,26.801339671237546,5860.059740027835
2024-01-01 03:00:00,3,1,337.02,26.66893192997952,6114.440994673733
2024-01-01 04:00:00,4,1,382.66,22.734487632211497,4979.013579367737
2024-01-01 05:00:00,5,1,301.56,24.13590583449894,5261.616821639618
2024-01-01 06:00:00,6,1,350.98,26.590254835867682,5086.546833288017
2024-01-01 07:00:00,7,1,552.75,19.818749506382964,5001.587382543729
2024-01-01 08:00:00,8,1,541.63,22.084936751670924,4395.70309303517
2024-01-01 09:00:00,9,1,555.52,26.80617004418506,4679.402840449508
2024-01-01 10:00:00,10,1,341.76,19.013507011813584,4466.195604395426
2024-01-01 11:00:00,11,1,323.13,21.587392632430635,4593.556409098041
2024-01-01 12:00:00,12,1,358.75,17.083598848481024,4854.877331594503
2024-01-01 13:00:00,13,1,358.65,17.10977180819044,5050.202237724739
2024-01-01 14:00:00,14,1,303.41,30.458430143031393,5354.180163940674
2024-01-01 15:00:00,15,1,288.46,31.451166491228896,4924.1528115023975
2024-01-01 16:00:00,16,1,386.78,27.34644732723281,4627.387079305231
2024-01-01 17:00:00,17,1,351.77,26.689688166846718,3806.428816185018
2024-01-01 18:00:00,18,1,699.91,26.066156803409832,6002.973644827317
2024-01-01 19:00:00,19,1,638.3,34.447048459961565,5191.8343662084
2024-01-01 20:00:00,20,1,921.41,16.68314858752325,5101.469003626687
2024-01-01 21:00:00,21,1,321.95,25.301660821072876,3901.212439881172
2024-01-01 22:00:00,22,1,327.18,25.14072796716844,4060.555589523654
2024-01-01 23:00:00,23,1,346.42,26.751485108048353,5295.368587191883
2024-01-02 00:00:00,0,1,360.03,21.578674063932418,5135.83399528578
2024-01-02 01:00:00,1,1,359.5,27.89515444424536,5241.419211817796
2024-01-02 02:00:00,2,1,401.56,23.759716377743906,5721.615272609213
2024-01-02 03:00:00,3,1,378.46,32.219192222397886,4347.651352834075
2024-01-02 04:00:00,4,1,387.84,33.97571947576794,4693.573268867985
2024-01-02 05:00:00,5,1,339.25,32.063774657715626,4827.579936434544
2024-01-02 06:00:00,6,1,338.29,16.808317379856742,4665.3682181128515
2024-01-02 07:00:00,7,1,517.28,22.62653603940726,4801.365897787203
2024-01-02 08:00:00,8,1,563.1,27.252312683875175,5191.921347789214
